timestamp,robot1_x,robot1_y,robot1_z,robot2_x,robot2_y,robot2_z,robot3_x,robot3_y,robot3_z
1777749806.1193376,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749806.6193871,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749807.1195312,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749807.6196387,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749808.1199427,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749808.619373,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749809.1193862,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749809.6196744,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749810.119679,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749810.6194391,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749811.119463,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749811.619622,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749812.1202304,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749812.619628,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749813.1194384,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749813.619856,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749814.1193235,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749814.619464,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749815.119383,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749815.6194792,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749816.119547,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749816.6193604,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749817.1202319,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749817.6198862,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749818.1194468,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749818.6200345,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749819.1193993,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749819.6198657,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749820.1193814,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749820.6195157,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749821.1193748,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749821.6194444,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749822.1201131,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749822.619398,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777749823.1193612,3.0,-2.0,2.3999999999999986,3.0,0.0,2.0,3.0,2.0,2.0
1777749823.6195009,3.0,-2.0,2.899999999999997,3.0,0.0,2.0,3.0,2.0,2.0
1777749824.1193657,3.0,-2.0,3.399999999999995,3.0,0.0,2.0,3.0,2.0,2.0
1777749824.620694,3.0,-2.0,3.8999999999999932,3.0,0.0,2.0,3.0,2.0,2.0
1777749825.1196017,3.0,-2.0,4.3999999999999915,3.0,0.0,2.0,3.0,2.0,2.0
1777749825.6196883,3.0,-2.0,4.89999999999999,3.0,0.0,2.0,3.0,2.0,2.0
1777749826.1202958,3.0,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749826.6201148,3.0,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749827.1193807,3.0,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749827.6198616,3.0,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749828.1194324,3.0,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749828.6194012,2.5000000000000018,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749829.119366,2.0000000000000036,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749829.619312,1.500000000000003,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749830.119445,1.0000000000000027,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749830.6194923,0.5000000000000022,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749831.1193407,2.2898349882893854e-15,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777749831.6193361,-0.37647588411481825,-1.9750000652574218,5.324999928463148,3.0070262404261303,-0.06697494759672896,2.1929766077089203,3.0,2.0,2.0
1777749832.120012,-0.5029517673880327,-1.8500001304783074,5.449999857647864,3.0327464735523053,-0.17053184854148026,2.435387968553635,3.0,2.0,2.0
1777749832.619559,-0.702545160557016,-1.8501009388648528,5.550372059504788,3.2138303009023996,-0.25671666839763607,2.7708196736563733,3.0,2.0,2.0
1777749833.1197004,-1.127543976715903,-1.8251008262826929,5.575373876492712,3.320389539663442,-0.288921947479224,2.912446455680734,3.0,2.0,2.0
1777749833.6199834,-1.2525272995116308,-1.7000997469665253,5.700386660605197,3.4747736827097206,-0.39302213105754197,3.0902303070029586,3.0,2.0,2.0
1777749834.1197116,-1.7525272995116312,-1.7000997469665253,5.700386660605197,3.463977071732277,-0.4139159714173181,3.355320996203219,3.0,2.0,2.0
1777749834.6195874,-2.2525272995116303,-1.7000997469665253,5.700386660605197,3.511443665303723,-0.4461201026455886,3.8052840487867123,3.0,2.0,2.0
1777749835.1200457,-2.7525272995116286,-1.7000997469665253,5.700386660605197,3.295198862622041,-0.50534127379606,4.186627474391152,3.0,2.0,2.0
1777749835.6195393,-2.7525272995116286,-1.7000997469665253,5.700386660605197,3.2274209155789966,-0.5293049704567089,4.357970488750741,3.0,2.0,2.0
1777749836.119334,-2.7525272995116286,-1.7000997469665253,5.700386660605197,3.2274209155789966,-0.5293049704567089,4.357970488750741,3.0,2.0,2.0
1777749836.6197946,-2.7525272995116286,-1.7000997469665253,5.700386660605197,3.2274209155789966,-0.5293049704567089,4.357970488750741,3.0,2.0,2.0
1777749837.119377,-2.7525272995116286,-1.7000997469665253,5.700386660605197,3.2274209155789966,-0.5293049704567089,4.357970488750741,3.0,2.0,2.0
1777749837.619945,-2.7525272995116286,-1.7000997469665253,5.300386660605199,3.2274209155789966,-0.5293049704567089,4.357970488750741,3.0,2.0,2.0
1777749838.119424,-2.7525272995116286,-1.7000997469665253,4.8003866606052,3.080405074031256,-0.557030482095188,4.581513829418693,3.0,2.0,2.0
1777749838.6195817,-2.7525272995116286,-1.7000997469665253,4.300386660605202,2.9892093096415135,-0.5882033245917285,4.759102928957175,3.0,2.0,2.0
1777749839.1194875,-2.602526736680314,-1.550099597968269,4.2503899294989225,2.733417545594781,-0.7541449575305488,4.842297481391772,3.0,2.0,2.0
1777749839.6192534,-2.6275260781517447,-1.4699970379834424,4.108172446336406,2.38899349878114,-0.8586486373344007,4.896921546496174,3.0,2.0,2.0
1777749840.1193502,-2.55248405300342,-1.3449864918911176,3.983685318336631,2.1942124029430183,-0.9634633162998749,5.001009312090367,3.0,2.0,2.0
1777749840.6202214,-2.499700387456395,-1.1948751055891436,3.9848637237994065,1.9765954178681029,-1.1135355007158503,5.277750355643934,3.0,2.0,2.0
1777749841.1193988,-2.5565142296363215,-1.190476846248649,3.620394063985387,1.7778495241133339,-1.1078114443914293,5.4533417989825095,3.0,2.0,2.0
1777749841.6193914,-2.6292031629042594,-1.183605037080108,3.2898723428828207,1.5390538208100417,-1.0999559955328317,5.733397966707189,3.0,2.0,2.0
1777749842.1193511,-2.6455716282501625,-1.1723689657173515,3.0870903098126683,1.178282889088142,-1.0892061257753127,5.92509074168455,3.0,2.0,2.0
1777749842.6200511,-2.6455716282501625,-1.1723689657173515,2.912090309812669,0.8421661379537786,-1.0733513137842148,6.109625888817695,3.0,2.0,2.0
1777749843.1193333,-2.6455716282501625,-1.1723689657173515,2.912090309812669,0.8354595712494792,-1.0656549324021678,6.204072826748601,3.0,2.0,2.0
1777749843.6198547,-2.6455716282501625,-1.1723689657173515,2.912090309812669,0.8354595712494792,-1.0656549324021678,6.204072826748601,3.0,2.0,2.0
1777749844.1195505,-2.6455716282501625,-1.1723689657173515,2.912090309812669,0.8354595712494792,-1.0656549324021678,6.204072826748601,3.0,2.0,2.0
1777749844.6196423,-2.6455716282501625,-1.1723689657173515,2.912090309812669,0.8354595712494792,-1.0656549324021678,6.204072826748601,3.0,2.0,2.0
1777749845.1193514,-2.6455716282501625,-1.1723689657173515,2.912090309812669,0.8354595712494792,-1.0656549324021678,6.204072826748601,3.0,2.0,2.0
1777749845.6193948,-2.6455716282501625,-1.1723689657173515,2.912090309812669,0.8354595712494792,-1.0656549324021678,6.204072826748601,3.0,2.0,2.0
